iter	Passed	Remaining
0	0	63
1	1	62
2	1	58
3	2	52
4	2	52
5	3	50
6	3	49
7	4	48
8	4	48
9	5	47
10	5	46
11	6	46
12	6	45
13	7	44
14	7	43
15	8	43
16	8	42
17	9	42
18	9	41
19	10	42
20	11	41
21	11	41
22	12	40
23	12	40
24	13	39
25	13	39
26	14	39
27	15	38
28	15	38
29	16	37
30	16	36
31	17	36
32	17	35
33	18	34
34	18	34
35	19	33
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	23	29
44	23	28
45	24	28
46	24	27
47	25	27
48	26	27
49	27	27
50	27	26
51	28	26
52	29	26
53	30	25
54	30	25
55	31	24
56	32	24
57	33	23
58	33	23
59	34	22
60	35	22
61	35	21
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	40	17
69	40	17
70	41	16
71	41	16
72	42	15
73	42	15
74	43	14
75	44	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	11
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	51	6
88	51	6
89	52	5
90	52	5
91	53	4
92	54	4
93	54	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
