iter	Passed	Remaining
0	0	816
1	1	731
2	2	692
3	2	666
4	3	650
5	3	635
6	4	625
7	4	615
8	5	605
9	6	601
10	6	615
11	7	622
12	8	626
13	8	624
14	9	619
15	9	613
16	10	607
17	11	601
18	11	599
19	12	595
20	12	592
21	13	587
22	13	583
23	14	580
24	14	578
25	15	577
26	15	575
27	16	572
28	17	570
29	17	570
30	18	569
31	18	567
32	19	565
33	19	563
34	20	561
35	20	559
36	21	562
37	22	565
38	22	565
39	23	563
40	24	563
41	24	563
42	25	562
43	25	560
44	26	558
45	26	556
46	27	554
47	27	552
48	28	550
49	28	550
50	29	549
51	29	546
52	30	544
53	31	543
54	31	541
55	32	541
56	32	541
57	33	539
58	33	538
59	34	537
60	34	536
61	35	535
62	35	534
63	36	534
64	37	535
65	37	534
66	38	534
67	39	535
68	39	535
69	40	534
70	40	532
71	41	532
72	41	530
73	42	530
74	42	529
75	43	529
76	44	529
77	44	528
78	45	527
79	45	526
80	46	524
81	46	523
82	47	520
83	47	520
84	48	519
85	48	518
86	49	517
87	49	517
88	50	517
89	51	517
90	51	519
91	52	523
92	53	523
93	54	522
94	54	523
95	55	522
96	56	521
97	56	521
98	57	520
99	57	519
100	58	519
101	58	518
102	59	518
103	60	517
104	60	516
105	61	514
106	61	513
107	62	513
108	62	512
109	63	511
110	63	510
111	64	509
112	64	509
113	65	508
114	66	508
115	66	507
116	67	506
117	67	507
118	68	506
119	68	505
120	69	505
121	70	504
122	70	504
123	71	507
124	72	507
125	73	507
126	73	505
127	74	505
128	74	504
129	75	503
130	75	502
131	76	501
132	76	500
133	77	499
134	77	498
135	78	497
136	79	500
137	80	502
138	81	502
139	81	501
140	82	500
141	82	499
142	83	499
143	83	498
144	84	498
145	85	498
146	85	497
147	86	496
148	86	495
149	87	494
150	87	494
151	88	494
152	89	493
153	89	492
154	90	491
155	90	490
156	91	489
157	91	488
158	92	487
159	92	486
160	92	484
161	93	483
162	93	482
163	94	482
164	95	481
165	95	481
166	96	480
167	96	480
168	97	479
169	98	479
170	98	478
171	99	479
172	100	478
173	100	477
174	101	476
175	101	475
176	102	475
177	102	474
178	103	474
179	103	473
180	104	472
181	104	471
182	105	470
183	105	469
184	106	468
185	106	467
186	107	467
187	107	466
188	108	465
189	109	465
190	109	464
191	110	464
192	110	463
193	111	462
194	111	461
195	112	460
196	112	459
197	113	460
198	114	460
199	114	459
200	115	458
201	115	457
202	116	457
203	117	456
204	117	456
205	118	455
206	118	454
207	119	454
208	119	453
209	120	452
210	120	451
211	121	451
212	121	450
213	122	449
214	122	448
215	123	447
216	123	446
217	124	446
218	124	445
219	125	445
220	126	444
221	126	443
222	127	443
223	128	444
224	129	444
225	129	443
226	130	444
227	131	444
228	131	444
229	132	444
230	133	443
231	133	443
232	134	442
233	134	441
234	135	441
235	136	440
236	136	439
237	137	439
238	137	438
239	138	437
240	138	437
241	139	437
242	140	436
243	140	435
244	141	435
245	141	434
246	142	434
247	143	434
248	143	434
249	144	433
250	145	433
251	145	432
252	146	432
253	146	431
254	147	430
255	147	429
256	148	429
257	148	428
258	149	427
259	149	426
260	150	426
261	150	425
262	151	424
263	151	423
264	152	422
265	153	422
266	153	421
267	154	421
268	154	420
269	155	419
270	155	419
271	156	418
272	156	417
273	157	416
274	157	416
275	158	416
276	159	415
277	159	415
278	160	415
279	161	414
280	162	414
281	162	414
282	163	413
283	163	412
284	164	411
285	164	410
286	165	410
287	165	409
288	166	408
289	166	407
290	167	407
291	167	406
292	168	406
293	168	405
294	169	404
295	170	404
296	170	403
297	171	402
298	171	402
299	172	401
300	172	400
301	173	400
302	173	399
303	174	399
